categoria,subcategoria,subcategoriaId,formularioId,sectorId,arquetipo,consumo,planRecomendado,planSchemaId,planMinimoSostenible,debeSubirPlan,precioMensualMXN,ivaIncluido,costoStorageMXN,costoEgressMXN,costoFirestoreMXN,costoFijoOpsMXN,costoTotalMXN,costoViralMXN,comisionPasarelaMXN,margenBrutoMXN,margenNetoMXN,margenNetoPct,semaforo,riesgoCosto,indiceRiesgoCosto,justificacionTecnica,justificacionComercial
Adultos y Entretenimiento para Adultos,Tabledance,tabledance,adultos,adultos,persona_espectaculo,Alto,Especial,vip,Especial,,1999,si,0,0.81,0.3,1.89,3,7.37,71.96,1996,1924.04,96.25,amarillo,Alto,22.11,"Arquetipo persona_espectaculo, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Lives/estados: diseño PLAN-MAESTRO-INTERACCIONES (cuota 30 min/día en spec). Costo storage 0 MXN (0.006679999999999999 GB). Egress 0.81 MXN (0.3843 GB). Firestore 0.3 MXN (17555 lecturas, 3570 escrituras). Plan schema: vip; cupo 15 fotos.",Monetiza relación + contenido digital; alto LTV; justifica fee superior y add-ons storage.
Adultos y Entretenimiento para Adultos,Sex Shop,sex shop,adultos,adultos,negocio_retail,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo negocio_retail, formulario adultos, baseline 6 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Spa,spa,adultos,adultos,negocio_bienestar,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo negocio_bienestar, formulario adultos, baseline 6 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Masajes,masajes,adultos,adultos,negocio_bienestar,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo negocio_bienestar, formulario adultos, baseline 6 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Club SW,club sw,adultos,adultos,negocio_venue,Alto,Especial,vip,Especial,,1999,si,0,0.81,0.3,1.89,3,7.37,71.96,1996,1924.04,96.25,amarillo,Alto,22.11,"Arquetipo negocio_venue, formulario adultos, baseline 6 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Lives/estados: diseño PLAN-MAESTRO-INTERACCIONES (cuota 30 min/día en spec). Costo storage 0 MXN (0.006679999999999999 GB). Egress 0.81 MXN (0.3843 GB). Firestore 0.3 MXN (17555 lecturas, 3570 escrituras). Plan schema: vip; cupo 15 fotos.",Monetiza relación + contenido digital; alto LTV; justifica fee superior y add-ons storage.
Adultos y Entretenimiento para Adultos,Antro / Restaurant Bar,antro restaurant bar,adultos,adultos,negocio_venue,Alto,Especial,vip,Especial,,1999,si,0,0.81,0.3,1.89,3,7.37,71.96,1996,1924.04,96.25,amarillo,Alto,22.11,"Arquetipo negocio_venue, formulario adultos, baseline 6 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Lives/estados: diseño PLAN-MAESTRO-INTERACCIONES (cuota 30 min/día en spec). Costo storage 0 MXN (0.006679999999999999 GB). Egress 0.81 MXN (0.3843 GB). Firestore 0.3 MXN (17555 lecturas, 3570 escrituras). Plan schema: vip; cupo 15 fotos.",Monetiza relación + contenido digital; alto LTV; justifica fee superior y add-ons storage.
Adultos y Entretenimiento para Adultos,Antro / Restaurant Bar LGBT,antro restaurant bar lgbt,adultos,adultos,negocio_venue,Alto,Especial,vip,Especial,,1999,si,0,0.81,0.3,1.89,3,7.37,71.96,1996,1924.04,96.25,amarillo,Alto,22.11,"Arquetipo negocio_venue, formulario adultos, baseline 6 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Lives/estados: diseño PLAN-MAESTRO-INTERACCIONES (cuota 30 min/día en spec). Costo storage 0 MXN (0.006679999999999999 GB). Egress 0.81 MXN (0.3843 GB). Firestore 0.3 MXN (17555 lecturas, 3570 escrituras). Plan schema: vip; cupo 15 fotos.",Monetiza relación + contenido digital; alto LTV; justifica fee superior y add-ons storage.
Adultos y Entretenimiento para Adultos,Hotel / Motel,hotel motel,adultos,adultos,negocio_hospedaje,Alto,Especial,vip,Especial,,1999,si,0,0.81,0.3,1.89,3,7.37,71.96,1996,1924.04,96.25,amarillo,Alto,22.11,"Arquetipo negocio_hospedaje, formulario adultos, baseline 6 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Lives/estados: diseño PLAN-MAESTRO-INTERACCIONES (cuota 30 min/día en spec). Costo storage 0 MXN (0.006679999999999999 GB). Egress 0.81 MXN (0.3843 GB). Firestore 0.3 MXN (17555 lecturas, 3570 escrituras). Plan schema: vip; cupo 15 fotos.",Monetiza relación + contenido digital; alto LTV; justifica fee superior y add-ons storage.
Adultos y Entretenimiento para Adultos,Cabinas / Glory Holes,cabinas glory holes,adultos,adultos,negocio_venue,Alto,Especial,vip,Especial,,1999,si,0,0.81,0.3,1.89,3,7.37,71.96,1996,1924.04,96.25,amarillo,Alto,22.11,"Arquetipo negocio_venue, formulario adultos, baseline 6 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Lives/estados: diseño PLAN-MAESTRO-INTERACCIONES (cuota 30 min/día en spec). Costo storage 0 MXN (0.006679999999999999 GB). Egress 0.81 MXN (0.3843 GB). Firestore 0.3 MXN (17555 lecturas, 3570 escrituras). Plan schema: vip; cupo 15 fotos.",Monetiza relación + contenido digital; alto LTV; justifica fee superior y add-ons storage.
Adultos y Entretenimiento para Adultos,Trans,trans,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Femboy,femboy,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Swinger,swinger,adultos,adultos,pareja_grupo,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo pareja_grupo, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Unicorns,unicorns,adultos,adultos,pareja_grupo,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo pareja_grupo, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Cuckold / Hotwife,cuckold hotwife,adultos,adultos,pareja_grupo,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo pareja_grupo, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Singles,singles,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Hotwife,hotwife,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Lesbians,lesbians,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Tom Boy,tom boy,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Tom Fem,tom fem,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Dotados,dotados,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Fetiche,fetiche,adultos,adultos,persona_dominatrix,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_dominatrix, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Sado,sado,adultos,adultos,persona_dominatrix,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_dominatrix, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Dominatrix,dominatrix,adultos,adultos,persona_dominatrix,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_dominatrix, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Cine XXX,cine xxx,adultos,adultos,negocio_venue,Alto,Especial,vip,Especial,,1999,si,0,0.81,0.3,1.89,3,7.37,71.96,1996,1924.04,96.25,amarillo,Alto,22.11,"Arquetipo negocio_venue, formulario adultos, baseline 6 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Lives/estados: diseño PLAN-MAESTRO-INTERACCIONES (cuota 30 min/día en spec). Costo storage 0 MXN (0.006679999999999999 GB). Egress 0.81 MXN (0.3843 GB). Firestore 0.3 MXN (17555 lecturas, 3570 escrituras). Plan schema: vip; cupo 15 fotos.",Monetiza relación + contenido digital; alto LTV; justifica fee superior y add-ons storage.
"Bienestar, Espiritualidad y Terapias Alternativas",Temazcales,temazcales,persona_independiente,bienestar,persona_servicio_general,Bajo,Basico,basico,Basico,,249,si,0,0,0.03,1.4,1.43,2.28,8.96,247.57,238.61,95.83,verde,Bajo,2.28,"Arquetipo persona_servicio_general, formulario persona_independiente, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Video en chat y videollamadas: no operativas (SPEC-MESSENGER post-MVP). Costo storage 0 MXN (0.00067 GB). Egress 0 MXN (0 GB). Firestore 0.03 MXN (1928 lecturas, 232 escrituras). Plan schema: basico; cupo 3 fotos.",Presencia en directorio + contacto básico; bajo costo infra por perfil.
"Bienestar, Espiritualidad y Terapias Alternativas",Centros Holísticos,centros-holisticos,persona_independiente,bienestar,persona_servicio_general,Bajo,Basico,basico,Basico,,249,si,0,0,0.03,1.4,1.43,2.28,8.96,247.57,238.61,95.83,verde,Bajo,2.28,"Arquetipo persona_servicio_general, formulario persona_independiente, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Video en chat y videollamadas: no operativas (SPEC-MESSENGER post-MVP). Costo storage 0 MXN (0.00067 GB). Egress 0 MXN (0 GB). Firestore 0.03 MXN (1928 lecturas, 232 escrituras). Plan schema: basico; cupo 3 fotos.",Presencia en directorio + contacto básico; bajo costo infra por perfil.
"Bienestar, Espiritualidad y Terapias Alternativas",Centros de Bienestar,centros-de-bienestar,persona_independiente,bienestar,persona_servicio_general,Bajo,Basico,basico,Basico,,249,si,0,0,0.03,1.4,1.43,2.28,8.96,247.57,238.61,95.83,verde,Bajo,2.28,"Arquetipo persona_servicio_general, formulario persona_independiente, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Video en chat y videollamadas: no operativas (SPEC-MESSENGER post-MVP). Costo storage 0 MXN (0.00067 GB). Egress 0 MXN (0 GB). Firestore 0.03 MXN (1928 lecturas, 232 escrituras). Plan schema: basico; cupo 3 fotos.",Presencia en directorio + contacto básico; bajo costo infra por perfil.
"Bienestar, Espiritualidad y Terapias Alternativas",Centros de Meditación,centros-de-meditacion,persona_independiente,bienestar,persona_servicio_general,Bajo,Basico,basico,Basico,,249,si,0,0,0.03,1.4,1.43,2.28,8.96,247.57,238.61,95.83,verde,Bajo,2.28,"Arquetipo persona_servicio_general, formulario persona_independiente, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Video en chat y videollamadas: no operativas (SPEC-MESSENGER post-MVP). Costo storage 0 MXN (0.00067 GB). Egress 0 MXN (0 GB). Firestore 0.03 MXN (1928 lecturas, 232 escrituras). Plan schema: basico; cupo 3 fotos.",Presencia en directorio + contacto básico; bajo costo infra por perfil.
